SPECIES_NAME,DIET,FISH_ID,1998/CH,1998/DG,1998/SB,1998/SC,1998/TF,2000/CP,2000/DG,2000/SC,2000/CH,2000/SB,2000/TF,2000/SV,2000/BB,2002/BB,2002/DG,2002/SB,2002/SC,2002/SV,2002/CP,2002/TF,2004/CP,2004/DG,2004/SC,2004/SB,2004/HM,2004/SV,2004/BB,2006/CR,2006/DG,2006/CP,2006/SB,2006/SC,2006/SH,2006/SV,2006/TF,2008/BB,2008/CP,2008/CR,2008/DG,2008/SC,2008/SH,2008/SV,2008/TF,2010/CP,2010/CR,2010/DG,2010/HM,2010/SB,2010/SC,2010/SH,2010/SV,2010/TF,2012/BB,2012/CP,2012/CR,2012/DG,2012/ER,2012/SV,2012/SC,2012/SB,2012/SH,2012/TF,2014/BB,2014/CP,2014/CR,2014/CH,2014/DG,2014/SV,2014/SC,2014/SB,2014/SH,2014/TF,2016/SC,2016/DG,2016/CR,2016/SH,2016/SV,2016/CP,2016/TF,2016/CH,2016/SB,2016/ER,2018/BB,2018/CP,2018/CR,2018/DG,2018/ER,2018/SV,2018/SC,2018/SB,2018/SH,2018/TF
Threeline Basslet,Zooplankton,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
Arrow Blenny,Unidentified,12,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Diamond Blenny,Unidentified,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.5,1,1.5,2,2,2,2
Redlip Blenny,Unidentified,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,2,0,1,2,0
Rosy Blenny,Unidentified,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
Saddled Blenny,Unidentified,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1.5,2
Sailfin Blenny,Unidentified,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seaweed Blenny,Unidentified,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Darkheaded Blenny,Unidentified,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1
Hairy Blenny ,Unidentified,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
Molly Miller ,Unidentified,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.5,2.333333333,3,2,0,1.666666667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1
Pearl Blenny,Unidentified,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
Roughhead Blenny,Unidentified,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Secretary Blenny,Unidentified,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Spiny Blenny,Unidentified,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unidentified Triplefin,Unidentified,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Wrasse Bleny,Unidentified,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
Boga,Zooplankton,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,0,0
Bonnetmouth,Zooplankton,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Honeycomb Cowfish,Sponges,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1
Scrawled Cowfish,Sponges,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Smooth Trunkfish,Crustaceans,32,1,1.25,1.666666667,0,1.5,2,1,1.333333333,2,2,1.25,1,0,2,2,0,2,1.5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1.333333333,1.5,1,1.333333333,1,0,1,1.333333333,0,1.5,1,1,1,0,0,1,1.4,1.5,2,1,2,1.166666667,1.5,2.25,1.666666667,1.8,1,1.6,2.25,1.75
Spotted Trunkfish,Crustaceans,33,0,1,1,0,0,1,0,1,0,0,2,1,0,2,1.5,8.125,1,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.5,1,1.5,0,0,1,1,0,0,0,0,0,0,1,2,0,1,2,1.6,1,1.5,1.333333333,1,1,1,1.5,1.833333333
Banded Butterflyfish,Coral,34,0,2,2.25,0,2,2,1,1.5,1.5,2,2,2,1.8,3,3,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1.5,1.75,2,1.5,2,1.666666667,1.6,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,2.166666667,1.666666667,2.333333333,2,2.5,2,2.166666667,2,2.5,1.857142857,3,2,2,2,2,1.5,2,2,0,2,2,2.25,2.166666667,2,2.166666667,2.142857143,2.166666667,2,2,2.142857143
Foureye Butterflyfish,Coral,35,2.333333333,2.166666667,2.571428571,2,2.5,2.333333333,2,2.333333333,2.333333333,2.75,2.2,2.625,2.448333333,2.5,2.25,9.3125,2,2.333333333,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2.285714286,2.571428571,2.428571429,2.333333333,2.2,2.857142857,2.428571429,2.5,2.714285714,2.5,3,2,2,2.333333333,2.5,1.25,2,2.333333333,2.666666667,2,2.428571429,1.9,2.625,2.333333333,2.666666667,2.777777778,2.555555556,2.428571429,2.222222222,2
Longsnout Butterflyfish,Coral,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.333333333,1,1.666666667,0,2.333333333,1.25,2,0,2,2,1,0,1,2.2,1.75,1.428571429,1.5,1.4,1.333333333,1.333333333,1.5,1.5,0,1.6,2,1.5,1.25,1.333333333,1.666666667,1.5,2,1,1.75,1.333333333,2,2,2.25,1.333333333,1.75,2,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,1
Reel Butterflyfish,Coral,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1.5,0,1,0,1.5,1,2,1,0,0,0,2,1.5,0,1,1,0,1,1,0,0,1,1,1.333333333,1.5,1.5,0,1,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,3,2,1.5,2,2,1.333333333
Spotfin Butterflyfish,Coral,38,1.833333333,2,2,0,2,2,0,2,2.333333333,1.666666667,2,2,2,2.5,3,10.25,2,2,2,2,0,0,1.5,1.833333333,2,1.333333333,2,2,2,3,2,2,3,2.25,2.5,2.4,2.2,2.2,2.2,2,2.142857143,2,2.333333333,2,2.166666667,2,2,1.666666667,1.666666667,2.333333333,2,2.5,1.8,2,2,2.2,2,1.75,2,1.666666667,1.666666667,2,0,2,1.5,0,1,1.666666667,0,2,2,1.833333333,0,2,0,0,1,2,2,1,0,0,2.5,1.4,1.666666667,2,2,1.333333333,1.5,2,2,2
Barred Cardinalfish,Unidentified,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.857142857,2.333333333,2.125,2,2,2.5,2,2,2.4,1.833333333,2.125,2.25,2.2,2.25,2,2.2,2.5,2,2.375,2,2.428571429,1.923076923,2.142857143,2.333333333,2.4,1.8,2,2,2.2,2.25,2,2.666666667,2.125,2.25,2.142857143,2.25,2,2,2.142857143,2.125,2.142857143,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Belted Cardinalfish,Unidentified,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Flamefish,Unidentified,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Twospot Cardinalfish,Zooplankton,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whitestar Cardinalfish,Zooplankton,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sponge Cardinalfish,Zooplankton,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Chromis,Zooplankton,45,3.888888889,3.5,3.428571429,4,3.2,3.333333333,3.5,3.375,3.666666667,3.166666667,3.2,3.25,3.331666667,2.75,3,0,3,3.333333333,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.285714286,3.571428571,3.571428571,3.428571429,3.5,3.428571429,3.714285714,3.5,3.571428571,3.25,2,3.5,3.25,0,3,3,3.333333333,3.833333333,3.75,3,3.428571429,3.6,3.5,3.727272727,3.666666667,3.555555556,3.875,2.75,3.3,3.3
Brown Chromis,Zooplankton,46,0,3,3,0,3,3,2,0,4,4,3,4,0,4,3.5,13.25,3,3,3.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.333333333,3.333333333,3.666666667,3.333333333,3.25,3.333333333,4,3.333333333,4,3.333333333,0,0,0,0,0,0,0,0,0,0,3,2.8,2.666666667,2.25,2.5,2.75,2.5,2.666666667,3,3.2
Purple Reeffish,Zooplankton,47,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,3,0,2,2
Sunshinefish,Zooplankton,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3,3.444444444,3.111111111,3.285714286,3.166666667,3.333333333,2.714285714,2.833333333,2.833333333,2.75,3.428571429,2.285714286,2.6,2.666666667,2.625,2.8,2.666666667,2.7,2.666666667,2.25,2.8,3.1,3.428571429,2.833333333,3.5,3.2,3.4,3,3.25,2.8,3,2.875,3.25,3.285714286,3.142857143,3.142857143,3.333333333,3,3.142857143,3.571428571,3.25,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.5,1,1,3,0,0,2
Yellowtail Reeffish,Zooplankton,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,2.5,0,0,3.5,3,0,0,4,0,0,0,0,0,0,2,0,3,2,2.5,3,3,3,3.5,3,4,2.333333333,2.6,2.333333333,4,2.75,2,3,2.333333333,2.5,2.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5,0,0,0,0,0
Beaugregory,Algae,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.666666667,1.666666667,2,2.333333333,2,2,2,1,2.25
Bicolor Damselfish,Algae,51,3,2.4,2,3,2.5,2,2.666666667,0,2.5,2.666666667,2.5,2.833333333,0,3,2.5,13.875,2.5,3,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.714285714,2.428571429,3,2.571428571,2.333333333,2.571428571,2.5,2.2,3,2.375,0,0,0,0,2,3,0,0,0,0,2.75,2.428571429,3.142857143,3,2.666666667,2.571428571,2.833333333,2.8,3,2.375
Cocoa Damselfish,Algae,52,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,4,2.666666667,2,3,2,2,2,2,2,2.5
Dusky Damselfish,Algae,53,2.5,2.4,2,2,2,2.333333333,2.333333333,1,2.5,3,2.25,3.2,2.39,2,1.666666667,13.91666667,2,1.666666667,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,1,0,1,0,2,1,0,0,1,2,2.5,2.5,3,2,3,3,1.5,2,1.25,2.25,2,1.5,1.5,2,1.666666667,2,1.8,2,0,2.333333333,2,0,2,0,2,2,2,1.333333333,2.333333333,2.8,3.111111111,3.375,3,3.125,2.375,2.428571429,2.777777778,2.222222222
Longfin Damselfish,Algae,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.25,2,2.375,2.25,2,2.333333333,3,2.333333333,2,2.8,3,3,0,2.75,2.5,3,2.6,2.75,3,2.75,3,2.333333333,2,2,2.25,2,2.333333333,3,3,2,2.333333333,2.5,3,2.857142857,3.2,2.8,2.571428571,2.4,3,2.333333333,2.857142857,2,2,4,1.5,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,3,2,2,3,2,1,2.5,2,2
